Year,Month,Day,Period,1
2016,1,1,1,46.2646132
2016,1,1,2,45.0766771
2016,1,1,3,45.32211225
2016,1,1,4,43.57484635
2016,1,1,5,42.5323614
2016,1,1,6,41.66537175
2016,1,1,7,39.4292544
2016,1,1,8,35.4802594
2016,1,1,9,34.53256705
2016,1,1,10,36.8098363
2016,1,1,11,39.2296841
2016,1,1,12,40.74408365
2016,1,1,13,40.59652255
2016,1,1,14,40.23980445
2016,1,1,15,40.36392585
2016,1,1,16,41.0906518
2016,1,1,17,41.8358589
2016,1,1,18,43.6573286
2016,1,1,19,45.77942005
2016,1,1,20,47.35604995
2016,1,1,21,48.81798105
2016,1,1,22,48.9308291
2016,1,1,23,46.7938684
2016,1,1,24,43.79394685
2016,1,2,1,42.10797515
2016,1,2,2,41.56109975
2016,1,2,3,42.41596385
2016,1,2,4,43.96745535
2016,1,2,5,43.9787015
2016,1,2,6,43.5609461
2016,1,2,7,42.28991245
2016,1,2,8,36.2891723
2016,1,2,9,33.8214353
2016,1,2,10,35.5755425
2016,1,2,11,35.16643355
2016,1,2,12,32.368646
2016,1,2,13,29.375977
2016,1,2,14,26.27532885
2016,1,2,15,25.1489782
2016,1,2,16,26.02108165
2016,1,2,17,27.11908445
2016,1,2,18,30.61222395
2016,1,2,19,36.81184385
2016,1,2,20,43.24255295
2016,1,2,21,46.85707815
2016,1,2,22,48.09725945
2016,1,2,23,48.98095075
2016,1,2,24,47.4719666
2016,1,3,1,44.90657165
2016,1,3,2,41.9119911
2016,1,3,3,39.0176634
2016,1,3,4,36.7202743
2016,1,3,5,36.7348315
2016,1,3,6,37.7842482
2016,1,3,7,38.20907055
2016,1,3,8,35.4421385
2016,1,3,9,33.8124936
2016,1,3,10,33.41006115
2016,1,3,11,33.0140891
2016,1,3,12,33.4850091
2016,1,3,13,34.61641995
2016,1,3,14,35.6480316
2016,1,3,15,37.1641635
2016,1,3,16,39.67786855
2016,1,3,17,43.3823374
2016,1,3,18,47.59196885
2016,1,3,19,53.5339185
2016,1,3,20,58.1380241
2016,1,3,21,62.42428385
2016,1,3,22,65.0099107
2016,1,3,23,63.7113646
2016,1,3,24,62.0999488
2016,1,4,1,61.22212025
2016,1,4,2,58.69036455
2016,1,4,3,55.98728715
2016,1,4,4,52.4608141
2016,1,4,5,50.4499024
2016,1,4,6,49.3921233
2016,1,4,7,47.2281198
2016,1,4,8,41.3004977
2016,1,4,9,37.31027315
2016,1,4,10,34.7208768
2016,1,4,11,32.0027069
2016,1,4,12,28.54553995
2016,1,4,13,26.1661103
2016,1,4,14,25.54974075
2016,1,4,15,26.2946734
2016,1,4,16,27.06649115
2016,1,4,17,27.8900973
2016,1,4,18,28.62936805
2016,1,4,19,30.54465895
2016,1,4,20,35.4297625
2016,1,4,21,39.48157885
2016,1,4,22,40.4983741
2016,1,4,23,39.97369095
2016,1,4,24,37.4686284
2016,1,5,1,34.4103252
2016,1,5,2,31.7026789
2016,1,5,3,28.18942115
2016,1,5,4,24.4907038
2016,1,5,5,22.14181925
2016,1,5,6,20.21697365
2016,1,5,7,17.95744865
2016,1,5,8,13.36641195
2016,1,5,9,9.6510002
2016,1,5,10,8.48110515
2016,1,5,11,7.9209224
2016,1,5,12,7.95121705
2016,1,5,13,9.57849025
2016,1,5,14,12.8928258
2016,1,5,15,17.71323535
2016,1,5,16,24.02120885
2016,1,5,17,31.99077825
2016,1,5,18,40.0582432
2016,1,5,19,47.4261186
2016,1,5,20,52.762416
2016,1,5,21,55.7016307
2016,1,5,22,55.529228
2016,1,5,23,54.05452485
2016,1,5,24,52.76377065
2016,1,6,1,52.0619135
2016,1,6,2,50.92261475
2016,1,6,3,49.13934675
2016,1,6,4,47.7193941
2016,1,6,5,47.07306845
2016,1,6,6,46.4301226
2016,1,6,7,44.7225075
2016,1,6,8,37.6993759
2016,1,6,9,32.9937564
2016,1,6,10,31.112472
